"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",256,0,23000,30730,3,106595,3079,0.86
"POST","/",253,0,23000,35678,168,186348,2524,0.85
"GET","/analysis.html",46,0,38000,47932,507,219270,52059,0.15
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",16,0,51000,59448,19169,146488,6914762,0.05
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",18,0,74000,74196,25964,163929,3512018,0.06
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,0,81000,83576,81083,86070,658134,0.01
"GET","/compare.html",63,0,47000,49739,571,145818,108023,0.21
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",7,0,52000,49680,13088,97691,13911284,0.02
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",22,0,37000,49255,11969,164560,14042800,0.07
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",9,0,63000,58299,7628,119093,2422301,0.03
"GET","/measure.html",119,0,38000,48104,2208,219541,46273,0.40
"POST","/measureResults.html",91,0,61000,63677,8112,146923,2155139,0.31
"GET","/movers.html",86,0,51000,52545,5,154570,3745,0.29
"POST","/moversResult.html",52,0,73000,79820,22097,176443,16052,0.17
"GET","/prediction.html",61,0,53000,52896,766,126083,40373,0.20
"POST","/predictionResult.html",42,0,68000,71016,8463,140156,334898,0.14
"None","Total",1143,0,37000,46404,3,219541,728982,3.84
