"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",64,20000,23000,24000,25000,26000,27000,27000,28000,28000
"POST /",64,2800,3400,3800,4100,6600,16000,24000,26000,26000
"GET /analysis.html",26,37000,38000,42000,44000,86000,103000,105000,105000,105000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",9,52000,63000,75000,85000,88000,88000,88000,88000,88000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",9,60000,62000,71000,76000,91000,91000,91000,91000,91000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,13000,13000,13000,13000,13000,13000,13000,13000,13000
"GET /compare.html",45,37000,41000,60000,71000,83000,91000,104000,104000,104000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",17,28000,42000,43000,56000,88000,100000,100000,100000,100000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",16,32000,34000,45000,45000,58000,110000,110000,110000,110000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,37000,80000,80000,106000,106000,106000,106000,106000,106000
"GET /measure.html",67,34000,38000,54000,62000,82000,87000,89000,103000,103000
"POST /measureResults.html",51,46000,65000,73000,75000,85000,101000,104000,107000,107000
"GET /movers.html",52,37000,50000,67000,69000,76000,82000,97000,101000,101000
"POST /moversResult.html",39,42000,60000,73000,79000,90000,103000,105000,105000,105000
"GET /prediction.html",25,23000,32000,37000,38000,59000,75000,86000,86000,86000
"POST /predictionResult.html",19,40000,72000,73000,79000,90000,96000,96000,96000,96000
"Total",510,26000,37000,48000,60000,79000,88000,101000,104000,110000
