"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",64,0,20000,15009,76,27651,3079,0.21
"POST","/",64,0,2800,4025,134,26121,2524,0.21
"GET","/analysis.html",26,0,36000,37618,192,104578,52059,0.09
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",9,0,52000,50959,6342,87939,6914762,0.03
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",9,0,60000,52252,6224,91480,3512018,0.03
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,0,4400,8552,4377,12727,658134,0.01
"GET","/compare.html",45,0,37000,39096,522,103581,108023,0.15
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",17,0,28000,38368,9720,100251,13911284,0.06
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",16,0,30000,36056,7972,109693,14042800,0.05
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,0,37000,51926,15372,105964,2422301,0.02
"GET","/measure.html",67,0,34000,34920,302,102859,46273,0.22
"POST","/measureResults.html",51,0,46000,47883,6520,106899,2323578,0.17
"GET","/movers.html",52,0,37000,42421,1036,100557,3745,0.17
"POST","/moversResult.html",39,0,42000,49621,13899,105199,16056,0.13
"GET","/prediction.html",25,0,23000,27412,409,85739,40373,0.08
"POST","/predictionResult.html",19,0,40000,45300,9903,95577,337756,0.06
"None","Total",510,0,26000,33057,76,109693,1382096,1.71
