"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",128,62000,62000,78000,78000,79000,79000,79000,79000,79000
"POST /",128,3300,4900,7000,12000,16000,17000,63000,77000,78000
"GET /analysis.html",28,43000,78000,88000,90000,106000,108000,122000,122000,122000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",9,33000,59000,61000,98000,106000,106000,106000,106000,106000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",13,28000,44000,48000,58000,80000,82000,82000,82000,82000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",3,40000,40000,145000,145000,145000,145000,145000,145000,145000
"GET /compare.html",58,33000,74000,82000,92000,115000,131000,143000,143000,143000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",19,33000,61000,101000,107000,118000,119000,119000,119000,119000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",21,54000,68000,84000,100000,108000,138000,153000,153000,153000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",12,44000,48000,87000,87000,110000,134000,134000,134000,134000
"GET /measure.html",97,27000,58000,75000,94000,109000,126000,147000,150000,150000
"POST /measureResults.html",76,48000,66000,90000,102000,123000,141000,147000,151000,151000
"GET /movers.html",65,11000,35000,70000,79000,95000,104000,108000,111000,111000
"POST /moversResult.html",53,89000,102000,108000,116000,140000,149000,150000,166000,166000
"GET /prediction.html",32,13000,34000,63000,68000,85000,100000,114000,114000,114000
"POST /predictionResult.html",27,68000,80000,93000,94000,111000,115000,129000,129000,129000
"Total",769,29000,61000,77000,79000,104000,117000,140000,147000,166000
