"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",64,5,14,23000,23000,23000,24000,24000,24000,24000
"POST /",64,23000,23000,23000,23000,32000,33000,38000,38000,38000
"GET /analysis.html",27,25,7000,14000,16000,42000,54000,85000,85000,85000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",12,26000,58000,69000,69000,69000,92000,92000,92000,92000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",10,13000,53000,63000,66000,84000,84000,84000,84000,84000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,67000,67000,67000,67000,67000,67000,67000,67000,67000
"GET /compare.html",45,8300,33000,53000,57000,78000,89000,91000,91000,91000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",20,35000,62000,79000,89000,96000,97000,97000,97000,97000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",19,8800,12000,32000,71000,81000,88000,88000,88000,88000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",3,71000,71000,93000,93000,93000,93000,93000,93000,93000
"GET /measure.html",95,3500,23000,41000,50000,67000,83000,90000,91000,91000
"POST /measureResults.html",81,10000,52000,59000,65000,85000,91000,93000,94000,94000
"GET /movers.html",83,810,7300,34000,39000,56000,64000,79000,90000,90000
"POST /moversResult.html",69,50000,68000,74000,82000,94000,96000,98000,103000,103000
"GET /prediction.html",35,6500,26000,38000,56000,64000,77000,85000,85000,85000
"POST /predictionResult.html",29,41000,58000,65000,69000,91000,96000,97000,97000,97000
"Total",658,12000,26000,44000,56000,73000,88000,93000,96000,103000
