"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",64,0,5,7558,3,23709,3079,0.21
"POST","/",64,0,23000,14405,153,38362,2524,0.21
"GET","/analysis.html",27,0,25,11169,15,84757,52059,0.09
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",12,0,19000,35289,3089,91708,6914762,0.04
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",10,0,8300,30696,3422,84410,3512018,0.03
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,0,26000,46591,26115,67068,658134,0.01
"GET","/compare.html",45,0,8300,26056,25,90669,108023,0.15
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",20,0,28000,43399,7527,97279,13911284,0.07
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",19,0,8800,25800,6197,88320,14042800,0.06
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",3,0,71000,57202,7432,93318,2422313,0.01
"GET","/measure.html",95,0,3500,20989,15,91094,46273,0.32
"POST","/measureResults.html",81,0,10000,30951,2780,94262,2202130,0.27
"GET","/movers.html",83,0,810,16024,3,90000,3745,0.28
"POST","/moversResult.html",69,0,50000,52357,14096,102725,16036,0.23
"GET","/prediction.html",35,0,6500,20674,10,84913,40373,0.12
"POST","/predictionResult.html",29,0,41000,42500,7657,97328,340826,0.10
"None","Total",658,0,12000,25278,3,102725,1328005,2.20
