"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",4,0,9,18,5,30,3079,0.01
"POST","/",4,0,150,159,129,190,2524,0.01
"GET","/analysis.html",19,0,18,20,13,42,52059,0.06
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",9,0,3300,3432,2929,4752,6914762,0.03
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",8,0,3400,3329,2891,3708,3512018,0.03
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,0,2700,2733,2725,2742,658134,0.01
"GET","/compare.html",29,0,30,35,22,141,108023,0.10
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",14,0,6500,6472,5771,6977,13911284,0.05
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",13,0,6600,6769,5871,9504,14042800,0.04
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",2,0,5900,5974,5877,6070,2422301,0.01
"GET","/measure.html",51,0,22,23,15,44,46273,0.17
"POST","/measureResults.html",49,0,3100,3108,2660,3432,2480314,0.16
"GET","/movers.html",33,0,5,5,4,11,3745,0.11
"POST","/moversResult.html",31,0,14000,14076,13499,15336,16058,0.10
"GET","/prediction.html",23,0,13,17,10,97,40373,0.08
"POST","/predictionResult.html",23,0,7600,8013,6502,10536,328620,0.08
"None","Total",314,0,53,3281,4,15336,1945707,1.05
