"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",64,2400,3600,4600,4600,9500,9600,9700,9800,9800
"POST /",64,750,4900,6700,8200,10000,14000,40000,40000,40000
"GET /analysis.html",36,26000,40000,44000,46000,61000,69000,77000,77000,77000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",12,28000,33000,39000,39000,46000,66000,66000,66000,66000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",16,33000,42000,48000,48000,51000,78000,78000,78000,78000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,3200,3200,3200,3200,3200,3200,3200,3200,3200
"GET /compare.html",60,18000,28000,32000,40000,54000,64000,64000,69000,69000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",23,26000,32000,36000,41000,55000,69000,70000,70000,70000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",30,30000,36000,39000,42000,50000,52000,52000,52000,52000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,32000,34000,34000,42000,42000,42000,42000,42000,42000
"GET /measure.html",110,18000,28000,30000,36000,41000,46000,65000,69000,74000
"POST /measureResults.html",102,23000,29000,33000,34000,44000,58000,67000,70000,82000
"GET /movers.html",71,16000,23000,28000,35000,61000,68000,70000,76000,76000
"POST /moversResult.html",63,46000,58000,66000,68000,76000,82000,84000,85000,85000
"GET /prediction.html",43,19000,24000,33000,41000,50000,55000,71000,71000,71000
"POST /predictionResult.html",38,39000,48000,55000,55000,63000,76000,84000,84000,84000
"Total",739,18000,29000,36000,40000,54000,66000,73000,79000,85000
