"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",128,37000,41000,65000,66000,68000,69000,70000,70000,70000
"POST /",128,2200,2700,3200,3900,5900,6900,7400,41000,70000
"GET /analysis.html",30,41000,72000,80000,115000,130000,132000,141000,141000,141000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",8,72000,74000,105000,105000,124000,124000,124000,124000,124000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",9,14000,19000,22000,38000,78000,78000,78000,78000,78000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,53000,53000,53000,53000,53000,53000,53000,53000,53000
"GET /compare.html",73,29000,49000,54000,62000,90000,128000,137000,137000,137000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",24,56000,78000,114000,119000,121000,129000,133000,133000,133000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",18,46000,51000,61000,72000,91000,92000,92000,92000,92000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",10,63000,71000,77000,77000,111000,111000,111000,111000,111000
"GET /measure.html",116,26000,49000,59000,65000,84000,111000,136000,137000,141000
"POST /measureResults.html",97,51000,64000,74000,82000,98000,131000,137000,143000,143000
"GET /movers.html",72,24000,53000,63000,67000,82000,93000,101000,122000,122000
"POST /moversResult.html",55,66000,88000,98000,110000,133000,151000,154000,167000,167000
"GET /prediction.html",58,20000,48000,56000,71000,83000,125000,133000,137000,137000
"POST /predictionResult.html",43,67000,76000,81000,86000,91000,138000,143000,143000,143000
"Total",871,33000,52000,65000,69000,88000,115000,135000,141000,167000
