"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",16,4,5,6,6,9,10,10,10,10
"POST /",16,150,150,160,160,160,170,170,170,170
"GET /analysis.html",37,120,1200,2900,3600,8100,10000,14000,14000,14000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",12,6900,7400,13000,13000,21000,25000,25000,25000,25000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",19,5500,6500,7800,8400,12000,13000,13000,13000,13000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",4,11000,11000,20000,20000,20000,20000,20000,20000,20000
"GET /compare.html",52,150,3200,4400,5100,7400,9900,11000,20000,20000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",21,9000,10000,11000,11000,13000,15000,16000,16000,16000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",26,12000,15000,16000,16000,17000,22000,23000,23000,23000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",3,9000,9000,10000,10000,10000,10000,10000,10000,10000
"GET /measure.html",84,1500,2900,4400,5700,9300,13000,18000,19000,19000
"POST /measureResults.html",80,5800,7500,9400,10000,14000,18000,18000,22000,22000
"GET /movers.html",69,1500,3300,4600,5300,8300,9500,12000,15000,15000
"POST /moversResult.html",66,29000,31000,34000,36000,37000,39000,40000,48000,48000
"GET /prediction.html",36,430,2600,4600,6900,9000,11000,19000,19000,19000
"POST /predictionResult.html",32,12000,13000,14000,15000,16000,19000,24000,24000,24000
"Total",573,4400,8200,11000,13000,22000,30000,36000,37000,48000
