"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",8,0,7,296,3,1271,3079,0.03
"POST","/",8,0,130,252,122,730,2524,0.03
"GET","/analysis.html",27,0,2600,2902,14,8025,52059,0.09
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",13,0,3900,4690,2795,9726,6914762,0.04
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",9,0,6200,5918,2991,9085,3512018,0.03
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",4,0,4300,4628,2943,5632,658134,0.01
"GET","/compare.html",44,0,2200,2909,55,8764,108023,0.15
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",21,0,7300,8334,6162,13899,13911284,0.07
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",19,0,6700,7866,5968,12440,14042800,0.06
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",4,0,7600,8222,7410,9558,2422301,0.01
"GET","/measure.html",57,0,3600,3548,14,8213,46273,0.19
"POST","/measureResults.html",56,0,4200,5057,2645,11370,2245665,0.19
"GET","/movers.html",38,0,3900,3891,48,8752,3745,0.13
"POST","/moversResult.html",36,0,15000,15559,13383,19991,16055,0.12
"GET","/prediction.html",22,0,2500,3555,19,8688,40373,0.07
"POST","/predictionResult.html",21,0,9400,9527,6849,13673,334237,0.07
"None","Total",387,0,4800,5614,3,19991,2160200,1.29
