"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",32,0,5,798,3,16519,3079,0.11
"POST","/",32,0,1300,3103,121,32335,2524,0.11
"GET","/analysis.html",33,0,76,5958,14,36188,52059,0.11
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",15,0,11000,17231,2776,45209,6914762,0.05
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",14,0,4800,12007,3093,28223,3512018,0.05
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,20000,19812,19812,19812,658134,0.00
"GET","/compare.html",60,0,770,7487,23,37333,108023,0.20
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",22,0,9600,18282,5374,36852,13911284,0.07
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",29,0,14000,18777,5548,48189,14042800,0.10
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,0,5700,8446,4959,20557,2422313,0.02
"GET","/measure.html",116,0,1300,9518,14,44293,46273,0.39
"POST","/measureResults.html",112,0,6100,13631,2399,46297,1835185,0.37
"GET","/movers.html",71,0,8400,12539,4,43528,3745,0.24
"POST","/moversResult.html",63,0,32000,32002,13722,54506,16039,0.21
"GET","/prediction.html",34,0,20,10509,10,38813,40373,0.11
"POST","/predictionResult.html",32,0,15000,21924,8036,46478,330360,0.11
"None","Total",671,0,7700,13118,3,54506,1656418,2.24
