"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",413,43000,56000,61000,76000,110000,132000,190000,221000,246000
"POST /",383,21000,33000,46000,60000,107000,176000,188000,199000,208000
"GET /analysis.html",39,31000,67000,90000,99000,127000,177000,211000,211000,211000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",15,77000,124000,151000,170000,185000,205000,205000,205000,205000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",7,58000,110000,138000,138000,181000,181000,181000,181000,181000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,162000,162000,162000,162000,162000,162000,162000,162000,162000
"GET /compare.html",82,34000,57000,87000,92000,109000,122000,156000,167000,167000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",23,67000,125000,134000,165000,183000,200000,213000,213000,213000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",20,88000,107000,123000,141000,195000,198000,198000,198000,198000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",6,72000,72000,80000,80000,100000,100000,100000,100000,100000
"GET /measure.html",115,27000,65000,105000,121000,128000,154000,177000,179000,196000
"POST /measureResults.html",63,66000,92000,106000,118000,135000,155000,158000,207000,207000
"GET /movers.html",100,35000,72000,101000,115000,151000,187000,212000,214000,214000
"POST /moversResult.html",52,90000,117000,125000,129000,151000,157000,167000,176000,176000
"GET /prediction.html",57,33000,57000,87000,104000,151000,151000,155000,204000,204000
"POST /predictionResult.html",34,68000,90000,113000,119000,152000,178000,196000,196000,196000
"Total",1410,40000,59000,77000,92000,125000,165000,190000,204000,246000
