"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",128,13000,18000,20000,22000,65000,68000,178000,180000,182000
"POST /",128,10000,17000,20000,26000,27000,27000,55000,58000,94000
"GET /analysis.html",41,16000,26000,36000,49000,83000,146000,154000,154000,154000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",12,28000,31000,69000,69000,149000,154000,154000,154000,154000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",18,56000,59000,92000,108000,135000,138000,138000,138000,138000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",5,56000,62000,62000,128000,128000,128000,128000,128000,128000
"GET /compare.html",67,20000,28000,60000,61000,126000,149000,153000,180000,180000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",20,40000,53000,89000,102000,139000,157000,157000,157000,157000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",26,26000,50000,65000,66000,79000,88000,112000,112000,112000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",8,34000,88000,109000,109000,110000,110000,110000,110000,110000
"GET /measure.html",113,25000,30000,60000,64000,79000,139000,178000,179000,181000
"POST /measureResults.html",84,40000,67000,76000,82000,110000,132000,152000,152000,152000
"GET /movers.html",65,16000,26000,46000,59000,74000,146000,148000,153000,153000
"POST /moversResult.html",50,43000,75000,84000,105000,149000,153000,164000,164000,164000
"GET /prediction.html",41,15000,26000,27000,57000,82000,129000,146000,146000,146000
"POST /predictionResult.html",31,48000,60000,70000,74000,83000,117000,146000,146000,146000
"Total",837,20000,27000,51000,62000,84000,134000,152000,160000,182000
