"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",16,650,1100,1700,1700,2100,2400,2400,2400,2400
"POST /",16,380,500,590,590,660,730,730,730,730
"GET /analysis.html",25,11000,16000,16000,17000,19000,20000,21000,21000,21000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",14,8400,12000,13000,15000,16000,26000,26000,26000,26000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",9,7600,9900,14000,15000,19000,19000,19000,19000,19000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,24000,24000,24000,24000,24000,24000,24000,24000,24000
"GET /compare.html",33,9100,13000,13000,14000,16000,17000,18000,18000,18000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",13,17000,21000,22000,24000,26000,27000,27000,27000,27000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",17,15000,18000,19000,19000,20000,27000,27000,27000,27000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",3,12000,12000,17000,17000,17000,17000,17000,17000,17000
"GET /measure.html",51,12000,13000,15000,16000,19000,22000,24000,24000,24000
"POST /measureResults.html",49,11000,15000,17000,18000,22000,23000,25000,25000,25000
"GET /movers.html",47,10000,13000,14000,14000,17000,18000,20000,20000,20000
"POST /moversResult.html",41,22000,24000,26000,26000,29000,31000,36000,36000,36000
"GET /prediction.html",20,13000,13000,15000,15000,18000,22000,22000,22000,22000
"POST /predictionResult.html",19,16000,18000,20000,21000,24000,24000,24000,24000,24000
"Total",374,12000,15000,17000,18000,22000,24000,27000,31000,36000
