"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",424,85,60000,72701,6166,250144,3079,1.42
"POST","/",272,128,4700,23236,194,200381,2524,0.91
"GET","/analysis.html",50,578,13000,38698,14,225692,52059,0.17
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",13,5,81000,88367,3828,215911,6914762,0.04
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",12,6,100000,111708,13840,213659,3512018,0.04
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,24000,24484,24484,24484,658134,0.00
"GET","/compare.html",87,934,14000,34806,49,207761,108023,0.29
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",27,11,67000,88688,11923,226243,13911284,0.09
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",18,6,31000,83585,7746,229522,14042800,0.06
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",6,1,80000,84847,24324,172483,2422301,0.02
"GET","/measure.html",150,1469,15000,27115,23,202110,46273,0.50
"POST","/measureResults.html",84,19,85000,86528,3787,229670,1853972,0.28
"GET","/movers.html",89,1028,16000,38966,6,219123,3745,0.30
"POST","/moversResult.html",47,19,92000,105736,18053,245599,16063,0.16
"GET","/prediction.html",58,572,13000,20971,1124,165082,40373,0.19
"POST","/predictionResult.html",30,6,75000,92074,8637,212995,332483,0.10
"None","Total",1368,4867,21000,53203,6,250144,705902,4.57
