"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",2,0,6,7,6,8,3079,0.01
"POST","/",2,0,160,163,156,171,2524,0.01
"GET","/analysis.html",8,0,22,23,17,28,52059,0.03
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",4,0,3200,3155,2901,3294,6914762,0.01
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",4,0,3200,3246,2965,3428,3512018,0.01
"GET","/compare.html",17,0,33,32,26,41,108023,0.06
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",7,0,6300,6273,5793,6676,13911284,0.02
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",8,0,6400,6249,5788,6678,14042800,0.03
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",2,0,6000,6130,5999,6262,2422301,0.01
"GET","/measure.html",38,0,23,26,17,103,46273,0.13
"POST","/measureResults.html",37,0,3100,3051,2618,3352,2265201,0.12
"GET","/movers.html",15,0,10,8,5,13,3745,0.05
"POST","/moversResult.html",15,0,13000,13479,13184,13710,16049,0.05
"GET","/prediction.html",8,0,13,16,13,21,40373,0.03
"POST","/predictionResult.html",8,0,7600,8086,6444,9493,336370,0.03
"None","Total",175,0,100,2936,5,13710,1985250,0.59
