"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",2,7,7,7,7,7,7,7,7,7
"POST /",2,160,160,160,160,160,160,160,160,160
"GET /analysis.html",7,26,26,27,27,30,30,30,30,30
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",4,3100,3100,3200,3200,3200,3200,3200,3200,3200
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",3,2900,2900,3200,3200,3200,3200,3200,3200,3200
"GET /compare.html",19,33,36,37,37,38,38,38,38,38
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",8,6300,6400,6400,6400,6400,6400,6400,6400,6400
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",10,6300,6300,6400,6400,6500,6500,6500,6500,6500
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,5400,5400,5400,5400,5400,5400,5400,5400,5400
"GET /measure.html",27,24,25,26,26,28,29,29,29,29
"POST /measureResults.html",26,2900,3000,3100,3100,3200,3300,3300,3300,3300
"GET /movers.html",18,7,9,9,9,10,10,10,10,10
"POST /moversResult.html",17,13000,13000,13000,13000,13000,13000,13000,13000,13000
"GET /prediction.html",10,17,20,21,22,25,25,25,25,25
"POST /predictionResult.html",10,7100,7700,7800,8300,9800,9800,9800,9800,9800
"Total",164,38,3100,5900,6400,13000,13000,13000,13000,13000
