"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",32,6,8,12,1900,10000,12000,13000,13000,13000
"POST /",32,180,6800,11000,12000,13000,15000,17000,17000,17000
"GET /analysis.html",27,7900,9300,12000,13000,18000,30000,34000,34000,34000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",17,8800,13000,14000,21000,22000,24000,24000,24000,24000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",6,17000,17000,31000,31000,34000,34000,34000,34000,34000
"GET /compare.html",76,3100,12000,19000,21000,30000,32000,34000,40000,40000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",36,17000,24000,30000,31000,32000,35000,37000,37000,37000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",28,13000,17000,22000,25000,30000,35000,35000,35000,35000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",7,11000,16000,19000,19000,29000,29000,29000,29000,29000
"GET /measure.html",102,3600,10000,12000,17000,25000,28000,36000,39000,40000
"POST /measureResults.html",97,8800,19000,22000,28000,31000,36000,39000,41000,41000
"GET /movers.html",72,6500,12000,18000,23000,28000,30000,35000,35000,35000
"POST /moversResult.html",68,27000,29000,38000,40000,48000,49000,50000,52000,52000
"GET /prediction.html",41,3000,8600,13000,16000,25000,29000,36000,36000,36000
"POST /predictionResult.html",38,18000,21000,25000,30000,36000,42000,45000,45000,45000
"Total",679,8900,17000,21000,25000,31000,36000,41000,48000,52000
