"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",128,0,8,47819,3,155261,3079,0.43
"POST","/",128,0,160,15488,149,94317,2524,0.43
"GET","/analysis.html",36,0,32000,29769,18,77586,52059,0.12
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",14,0,53000,48047,3718,103810,6914762,0.05
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",12,0,45000,42521,4139,76370,3512018,0.04
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,101000,100569,100569,100569,658134,0.00
"GET","/compare.html",60,0,35000,29305,25,80813,108023,0.20
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",24,0,48000,51541,7431,124521,13911284,0.08
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",21,0,57000,59039,10556,146470,14042800,0.07
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",6,0,48000,51475,39848,79450,2422313,0.02
"GET","/measure.html",99,0,29000,26201,16,82122,46273,0.33
"POST","/measureResults.html",83,0,52000,57459,3298,158608,2311327,0.28
"GET","/movers.html",70,0,37000,32961,4,79237,3745,0.23
"POST","/moversResult.html",47,0,79000,79385,20392,162730,16035,0.16
"GET","/prediction.html",40,0,33000,32398,10,81152,40373,0.13
"POST","/predictionResult.html",32,0,48000,60566,10191,152389,336103,0.11
"None","Total",801,0,38000,39498,3,162730,1250677,2.67
