"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",128,9,71000,100000,112000,122000,139000,151000,155000,155000
"POST /",128,160,9000,32000,36000,57000,62000,70000,94000,94000
"GET /analysis.html",36,33000,49000,57000,58000,69000,76000,78000,78000,78000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",14,55000,72000,75000,80000,90000,104000,104000,104000,104000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",12,45000,46000,64000,64000,73000,76000,76000,76000,76000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,101000,101000,101000,101000,101000,101000,101000,101000,101000
"GET /compare.html",60,37000,44000,53000,56000,63000,73000,76000,81000,81000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",24,49000,63000,82000,112000,123000,123000,125000,125000,125000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",21,57000,66000,71000,72000,80000,81000,146000,146000,146000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",6,48000,48000,52000,52000,79000,79000,79000,79000,79000
"GET /measure.html",99,29000,43000,53000,56000,64000,68000,72000,82000,82000
"POST /measureResults.html",83,52000,68000,75000,81000,115000,119000,142000,159000,159000
"GET /movers.html",70,37000,48000,53000,57000,68000,75000,77000,79000,79000
"POST /moversResult.html",47,79000,88000,100000,109000,138000,152000,163000,163000,163000
"GET /prediction.html",40,35000,55000,60000,68000,74000,80000,81000,81000,81000
"POST /predictionResult.html",32,48000,78000,83000,87000,111000,151000,152000,152000,152000
"Total",801,38000,55000,63000,70000,89000,117000,138000,151000,163000
