"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",237,125000,136000,136000,137000,177000,179000,211000,211000,211000
"POST /",203,31000,58000,65000,79000,91000,92000,130000,130000,130000
"GET /analysis.html",50,16000,38000,56000,58000,78000,89000,130000,130000,130000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",17,28000,44000,47000,56000,84000,134000,134000,134000,134000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",13,39000,62000,66000,71000,92000,105000,105000,105000,105000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",7,42000,48000,68000,68000,82000,82000,82000,82000,82000
"GET /compare.html",50,42000,48000,58000,65000,77000,102000,138000,138000,138000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",10,37000,38000,52000,60000,61000,61000,61000,61000,61000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",18,46000,52000,57000,59000,65000,79000,79000,79000,79000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",6,39000,39000,44000,44000,45000,45000,45000,45000,45000
"GET /measure.html",122,21000,39000,45000,52000,78000,91000,103000,127000,127000
"POST /measureResults.html",71,34000,48000,58000,64000,74000,96000,97000,100000,100000
"GET /movers.html",73,31000,45000,59000,69000,77000,96000,102000,127000,127000
"POST /moversResult.html",36,53000,64000,74000,76000,83000,98000,112000,112000,112000
"GET /prediction.html",46,26000,51000,56000,59000,88000,127000,137000,137000,137000
"POST /predictionResult.html",31,29000,37000,43000,50000,71000,86000,104000,104000,104000
"Total",990,50000,77000,98000,118000,134000,137000,178000,201000,211000
