"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",511,120000,127000,135000,135000,137000,179000,186000,197000,220000
"POST /",365,63000,98000,99000,100000,101000,117000,119000,139000,147000
"GET /analysis.html",41,37000,53000,55000,93000,99000,103000,123000,123000,123000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",7,30000,73000,87000,87000,98000,98000,98000,98000,98000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",10,66000,67000,75000,80000,87000,87000,87000,87000,87000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,54000,54000,54000,54000,54000,54000,54000,54000,54000
"GET /compare.html",85,39000,57000,73000,93000,97000,102000,112000,123000,123000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",21,50000,61000,78000,84000,91000,96000,97000,97000,97000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",15,44000,56000,83000,90000,91000,110000,110000,110000,110000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,61000,86000,86000,93000,93000,93000,93000,93000,93000
"GET /measure.html",136,49000,77000,96000,98000,106000,114000,137000,139000,139000
"POST /measureResults.html",73,52000,72000,83000,84000,92000,102000,104000,107000,107000
"GET /movers.html",96,41000,60000,84000,92000,101000,107000,137000,139000,139000
"POST /moversResult.html",42,62000,76000,88000,92000,103000,106000,139000,139000,139000
"GET /prediction.html",58,36000,60000,78000,94000,99000,101000,103000,137000,137000
"POST /predictionResult.html",28,36000,57000,67000,70000,92000,97000,109000,109000,109000
"Total",1495,63000,97000,103000,120000,135000,136000,174000,183000,220000
