"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",128,5,5,5,6,6,7,72000,72000,178000
"POST /",127,160,160,160,160,160,160,660,58000,88000
"GET /analysis.html",32,61000,73000,81000,82000,96000,104000,118000,118000,118000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",7,29000,62000,66000,66000,77000,77000,77000,77000,77000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",14,59000,69000,79000,85000,99000,111000,111000,111000,111000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",3,58000,58000,70000,70000,70000,70000,70000,70000,70000
"GET /compare.html",56,61000,77000,81000,83000,95000,136000,178000,179000,179000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",22,51000,55000,83000,88000,96000,111000,111000,111000,111000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",14,48000,58000,74000,76000,78000,116000,116000,116000,116000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",4,84000,84000,87000,87000,87000,87000,87000,87000,87000
"GET /measure.html",115,60000,71000,78000,80000,85000,110000,121000,135000,180000
"POST /measureResults.html",95,55000,74000,85000,95000,111000,114000,118000,121000,121000
"GET /movers.html",67,56000,66000,75000,85000,111000,126000,137000,179000,179000
"POST /moversResult.html",45,62000,88000,102000,117000,124000,127000,139000,139000,139000
"GET /prediction.html",33,74000,83000,86000,93000,134000,138000,148000,148000,148000
"POST /predictionResult.html",25,54000,57000,62000,70000,88000,97000,121000,121000,121000
"Total",787,31000,60000,71000,78000,92000,113000,127000,138000,180000
