"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",128,900,4600,66000,68000,76000,76000,82000,82000,82000
"POST /",128,4800,20000,36000,60000,76000,80000,82000,83000,83000
"GET /analysis.html",46,55000,65000,77000,80000,88000,94000,97000,97000,97000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",18,51000,58000,59000,61000,79000,85000,85000,85000,85000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",16,50000,55000,59000,59000,63000,95000,95000,95000,95000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",4,58000,58000,95000,95000,95000,95000,95000,95000,95000
"GET /compare.html",54,43000,54000,58000,67000,73000,81000,90000,95000,95000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",24,62000,65000,68000,69000,81000,96000,98000,98000,98000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",18,55000,64000,67000,67000,73000,102000,102000,102000,102000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,53000,64000,64000,93000,93000,93000,93000,93000,93000
"GET /measure.html",117,38000,50000,56000,60000,73000,83000,91000,92000,93000
"POST /measureResults.html",98,45000,54000,62000,64000,81000,95000,97000,97000,97000
"GET /movers.html",87,44000,56000,62000,66000,77000,82000,93000,93000,93000
"POST /moversResult.html",60,73000,82000,92000,100000,110000,120000,121000,126000,126000
"GET /prediction.html",42,45000,50000,56000,60000,71000,78000,94000,94000,94000
"POST /predictionResult.html",34,67000,70000,75000,80000,92000,99000,102000,102000,102000
"Total",879,41000,58000,66000,68000,81000,90000,98000,106000,126000
