"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",64,2400,3000,30000,30000,30000,30000,30000,30000,30000
"POST /",64,27000,30000,30000,30000,30000,32000,32000,32000,32000
"GET /analysis.html",49,4800,8000,30000,57000,65000,68000,74000,74000,74000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",17,54000,62000,64000,65000,74000,75000,75000,75000,75000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",18,33000,34000,62000,65000,70000,77000,77000,77000,77000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",6,14000,14000,67000,67000,72000,72000,72000,72000,72000
"GET /compare.html",77,700,6400,10000,32000,60000,70000,70000,73000,73000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",28,16000,56000,65000,70000,74000,77000,80000,80000,80000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",34,15000,34000,63000,65000,70000,76000,78000,78000,78000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,14000,32000,32000,79000,79000,79000,79000,79000,79000
"GET /measure.html",90,3500,8000,23000,31000,59000,67000,75000,76000,76000
"POST /measureResults.html",80,10000,15000,46000,63000,69000,75000,76000,77000,77000
"GET /movers.html",72,5500,11000,37000,57000,61000,64000,75000,76000,76000
"POST /moversResult.html",60,33000,64000,77000,77000,85000,86000,87000,87000,87000
"GET /prediction.html",52,1900,8800,32000,57000,67000,73000,75000,75000,75000
"POST /predictionResult.html",48,18000,58000,72000,73000,76000,81000,84000,84000,84000
"Total",764,10000,29000,33000,56000,68000,75000,79000,83000,87000
