"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/",220,0,18000,32806,5,122500,3079,0.73
"POST","/",179,0,180,23466,129,94571,2524,0.60
"GET","/analysis.html",26,0,54000,53953,25,107598,52059,0.09
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",11,0,25000,27712,4269,54801,6914762,0.04
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",4,0,21000,34118,3946,73651,3512018,0.01
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",3,0,54000,52310,20482,82612,658134,0.01
"GET","/compare.html",46,0,58000,54932,1493,108680,108023,0.15
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",12,0,45000,46531,12997,85088,13911284,0.04
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",19,0,55000,50907,9055,99856,14042800,0.06
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,0,67000,67997,62012,74916,2422301,0.02
"GET","/measure.html",73,0,52000,54111,1609,120795,46273,0.24
"POST","/measureResults.html",57,0,42000,43082,3789,122795,2265858,0.19
"GET","/movers.html",63,0,51000,50841,793,115650,3745,0.21
"POST","/moversResult.html",45,0,74000,74092,17321,151383,16059,0.15
"GET","/prediction.html",22,0,65000,63301,26753,112523,40373,0.07
"POST","/predictionResult.html",15,0,57000,48724,9048,83508,328066,0.05
"None","Total",800,0,44000,41097,5,151383,855870,2.67
